jid_b026324c6904b2a9cb4b88d6d61c81d1, 'tag', ['Rd k1, Areg', 'Rd k1, Breg', 'Add Areg, Breg, Creg', 'St Creg, k1' ] 
jid_26ab0db90d72e28ad0ba1e22ee510510, 'tag', ['Rd k1, Areg', 'Rd k2, Breg', 'Add Areg, Breg, Creg', 'St Creg, k2' ] 
jid_6d7fce9fee471194aa8b5b6e47267f03, 'tag', ['Rd k1, Areg', 'Rd k3, Breg', 'Add Areg, Breg, Creg', 'St Creg, k3' ] 
jid_48a24b70a0b376535542b996af517398, 'tag', ['Rd k1, Areg', 'Rd k4, Breg', 'Add Areg, Breg, Creg', 'St Creg, k4' ] 
jid_1dcca23355272056f04fe8bf20edfce0, 'tag', ['Rd k1, Areg', 'Rd k5, Breg', 'Add Areg, Breg, Creg', 'St Creg, k5' ] 
jid_9ae0ea9e3c9c6e1b9b6252c8395efdc1, 'tag', ['Rd k1, Areg', 'Rd k6, Breg', 'Add Areg, Breg, Creg', 'St Creg, k6' ] 
jid_84bc3da1b3e33a18e8d5e1bdd7a18d7a, 'tag', ['Rd k1, Areg', 'Rd k7, Breg', 'Add Areg, Breg, Creg', 'St Creg, k7' ] 
jid_c30f7472766d25af1dc80b3ffc9a58c7, 'tag', ['Rd k1, Areg', 'Rd k8, Breg', 'Add Areg, Breg, Creg', 'St Creg, k8' ] 
jid_7c5aba41f53293b712fd86d08ed5b36e, 'tag', ['Rd k1, Areg', 'Rd k9, Breg', 'Add Areg, Breg, Creg', 'St Creg, k9' ] 
jid_31d30eea8d0968d6458e0ad0027c9f80, 'tag', ['Rd k1, Areg', 'Rd k10, Breg', 'Add Areg, Breg, Creg', 'St Creg, k10' ] 
jid_166d77ac1b46a1ec38aa35ab7e628ab5, 'tag', ['Rd k1, Areg', 'Rd k11, Breg', 'Add Areg, Breg, Creg', 'St Creg, k11' ] 
jid_2737b49252e2a4c0fe4c342e92b13285, 'tag', ['Rd k1, Areg', 'Rd k12, Breg', 'Add Areg, Breg, Creg', 'St Creg, k12' ] 
jid_aa6ed9e0f26a6eba784aae8267df1951, 'tag', ['Rd k1, Areg', 'Rd k13, Breg', 'Add Areg, Breg, Creg', 'St Creg, k13' ] 
