jid_cf6a52053ff904bca9d96fd4e7740d7d, 'tag', ['Rd k1, Areg', 'Rd k101, Breg', 'Add Areg, Breg, Creg', 'St Creg, k101' ] 
jid_5aa8301da6367a102391fc70cae9ee87, 'tag', ['Rd k1, Areg', 'Rd k102, Breg', 'Add Areg, Breg, Creg', 'St Creg, k102' ] 
jid_ff7f2c85af133d62c53b36a83edf0fd5, 'tag', ['Rd k1, Areg', 'Rd k103, Breg', 'Add Areg, Breg, Creg', 'St Creg, k103' ] 
jid_929ad9494d911e47cd54ce0d30472ccc, 'tag', ['Rd k1, Areg', 'Rd k104, Breg', 'Add Areg, Breg, Creg', 'St Creg, k104' ] 
jid_4df9699916cff49b080f7ce773e9aab7, 'tag', ['Rd k1, Areg', 'Rd k105, Breg', 'Add Areg, Breg, Creg', 'St Creg, k105' ] 
jid_48e3b798640336ae306dbc47c2798827, 'tag', ['Rd k1, Areg', 'Rd k106, Breg', 'Add Areg, Breg, Creg', 'St Creg, k106' ] 
jid_0fa41cbcef9d3f0563ffebdfcd102b2b, 'tag', ['Rd k1, Areg', 'Rd k107, Breg', 'Add Areg, Breg, Creg', 'St Creg, k107' ] 
jid_f9926b3197699cedc36f46a02349d112, 'tag', ['Rd k1, Areg', 'Rd k108, Breg', 'Add Areg, Breg, Creg', 'St Creg, k108' ] 
jid_ca4047ce3d85454b067b932ba1ac7320, 'tag', ['Rd k1, Areg', 'Rd k109, Breg', 'Add Areg, Breg, Creg', 'St Creg, k109' ] 
jid_2fe51daae840593fb0f4076b307ccefb, 'tag', ['Rd k1, Areg', 'Rd k110, Breg', 'Add Areg, Breg, Creg', 'St Creg, k110' ] 
jid_1181c1834012245d785120e3505ed169, 'tag', ['Rd k1, Areg', 'Rd k111, Breg', 'Add Areg, Breg, Creg', 'St Creg, k111' ] 
jid_f3527f99cc6f600235ae6b562d3980d9, 'tag', ['Rd k1, Areg', 'Rd k112, Breg', 'Add Areg, Breg, Creg', 'St Creg, k112' ] 
jid_754ee2a8de2d24e4e7956e7237a2b174, 'tag', ['Rd k1, Areg', 'Rd k113, Breg', 'Add Areg, Breg, Creg', 'St Creg, k113' ] 
jid_83050114704e61f1c58d81d9b607baaf, 'tag', ['Rd k1, Areg', 'Rd k114, Breg', 'Add Areg, Breg, Creg', 'St Creg, k114' ] 
jid_980327c5e0436dcaffc6cb9fbe22cb4d, 'tag', ['Rd k1, Areg', 'Rd k115, Breg', 'Add Areg, Breg, Creg', 'St Creg, k115' ] 
jid_0a5ec754e3041febfcc17fffbb892d75, 'tag', ['Rd k1, Areg', 'Rd k116, Breg', 'Add Areg, Breg, Creg', 'St Creg, k116' ] 
jid_969049573085c71a5d6dc034e34b56bf, 'tag', ['Rd k1, Areg', 'Rd k117, Breg', 'Add Areg, Breg, Creg', 'St Creg, k117' ] 
jid_12fc54257f1ae2301d3f9db906d7f414, 'tag', ['Rd k1, Areg', 'Rd k118, Breg', 'Add Areg, Breg, Creg', 'St Creg, k118' ] 
jid_353a99e6831ecb4f60e69a8f3c412854, 'tag', ['Rd k1, Areg', 'Rd k119, Breg', 'Add Areg, Breg, Creg', 'St Creg, k119' ] 
jid_617119c2d67402b95f241638ec7f27c9, 'tag', ['Rd k1, Areg', 'Rd k120, Breg', 'Add Areg, Breg, Creg', 'St Creg, k120' ] 
jid_83de9f8ad800dc61db7810021d57f37a, 'tag', ['Rd k1, Areg', 'Rd k121, Breg', 'Add Areg, Breg, Creg', 'St Creg, k121' ] 
jid_87ff3a697a3847ea7f3dfc8211c669a9, 'tag', ['Rd k1, Areg', 'Rd k122, Breg', 'Add Areg, Breg, Creg', 'St Creg, k122' ] 
jid_ba1f2511fc30423bdbb183fe33f3dd0f, 'tag', ['Rd k1, Areg', 'Rd k123, Breg', 'Add Areg, Breg, Creg', 'St Creg, k123' ] 
jid_df8b712c4fe20a0df933819665770165, 'tag', ['Rd k1, Areg', 'Rd k124, Breg', 'Add Areg, Breg, Creg', 'St Creg, k124' ] 
jid_f981f6a13c442f8cba2667f7ec5a41b6, 'tag', ['Rd k1, Areg', 'Rd k125, Breg', 'Add Areg, Breg, Creg', 'St Creg, k125' ] 
jid_f83be6652c0a89ed523a1bf518cdc2ad, 'tag', ['Rd k1, Areg', 'Rd k126, Breg', 'Add Areg, Breg, Creg', 'St Creg, k126' ] 
jid_52ee216e7ea72db74e87cc1819fc6c59, 'tag', ['Rd k1, Areg', 'Rd k127, Breg', 'Add Areg, Breg, Creg', 'St Creg, k127' ] 
jid_650a1c9c9baa20730b4fcfdbe4cdc135, 'tag', ['Rd k1, Areg', 'Rd k128, Breg', 'Add Areg, Breg, Creg', 'St Creg, k128' ] 
jid_221a057e91928a3651f31d376b907d60, 'tag', ['Rd k1, Areg', 'Rd k129, Breg', 'Add Areg, Breg, Creg', 'St Creg, k129' ] 
jid_21d192a7f99b9d042621777150ea8a5f, 'tag', ['Rd k1, Areg', 'Rd k130, Breg', 'Add Areg, Breg, Creg', 'St Creg, k130' ] 
jid_3be873cedd792b389c2b2495aa2b9b31, 'tag', ['Rd k1, Areg', 'Rd k131, Breg', 'Add Areg, Breg, Creg', 'St Creg, k131' ] 
jid_e051e54a58c467f7e3e23e648bf7ab83, 'tag', ['Rd k1, Areg', 'Rd k132, Breg', 'Add Areg, Breg, Creg', 'St Creg, k132' ] 
jid_02e6b43d347925b87e0f97793fe89159, 'tag', ['Rd k1, Areg', 'Rd k133, Breg', 'Add Areg, Breg, Creg', 'St Creg, k133' ] 
jid_7162e6c85b5430f81c374d194909ad60, 'tag', ['Rd k1, Areg', 'Rd k134, Breg', 'Add Areg, Breg, Creg', 'St Creg, k134' ] 
jid_615010a656a5bb29d1898f163619611f, 'tag', ['Rd k1, Areg', 'Rd k135, Breg', 'Add Areg, Breg, Creg', 'St Creg, k135' ] 
jid_be8032a3ea812eeb288df3aecaa0fca4, 'tag', ['Rd k1, Areg', 'Rd k136, Breg', 'Add Areg, Breg, Creg', 'St Creg, k136' ] 
jid_557ff88fbe890cf23ab4c4b6526ebd99, 'tag', ['Rd k1, Areg', 'Rd k137, Breg', 'Add Areg, Breg, Creg', 'St Creg, k137' ] 
jid_26e41e2047e361fd54e4d19ec39375eb, 'tag', ['Rd k1, Areg', 'Rd k138, Breg', 'Add Areg, Breg, Creg', 'St Creg, k138' ] 
jid_6067e932002f9de6546ab9e8fa14a1f7, 'tag', ['Rd k1, Areg', 'Rd k139, Breg', 'Add Areg, Breg, Creg', 'St Creg, k139' ] 
jid_f52f163317380a912b84fa81a69c6d6e, 'tag', ['Rd k1, Areg', 'Rd k140, Breg', 'Add Areg, Breg, Creg', 'St Creg, k140' ] 
jid_3c71a3f3482184ceca06acb78591c482, 'tag', ['Rd k1, Areg', 'Rd k141, Breg', 'Add Areg, Breg, Creg', 'St Creg, k141' ] 
jid_b17bf99d69b88017a7af6c7029c2db25, 'tag', ['Rd k1, Areg', 'Rd k142, Breg', 'Add Areg, Breg, Creg', 'St Creg, k142' ] 
jid_f498cc98ded256b5044b61b48fb6b642, 'tag', ['Rd k1, Areg', 'Rd k143, Breg', 'Add Areg, Breg, Creg', 'St Creg, k143' ] 
jid_8cf478ccdecd74e358a73857922d0bc0, 'tag', ['Rd k1, Areg', 'Rd k144, Breg', 'Add Areg, Breg, Creg', 'St Creg, k144' ] 
jid_95a283596833b3edcd053949e91715b2, 'tag', ['Rd k1, Areg', 'Rd k145, Breg', 'Add Areg, Breg, Creg', 'St Creg, k145' ] 
jid_9ae1400d5046b9667825b464e5b1ea86, 'tag', ['Rd k1, Areg', 'Rd k146, Breg', 'Add Areg, Breg, Creg', 'St Creg, k146' ] 
jid_fca54b184f3da329ae09e8978790ded4, 'tag', ['Rd k1, Areg', 'Rd k147, Breg', 'Add Areg, Breg, Creg', 'St Creg, k147' ] 
jid_e6d604c19ab3dad77d96f20161330764, 'tag', ['Rd k1, Areg', 'Rd k148, Breg', 'Add Areg, Breg, Creg', 'St Creg, k148' ] 
jid_b8344b1405a2d9cf936b0de14220b872, 'tag', ['Rd k1, Areg', 'Rd k149, Breg', 'Add Areg, Breg, Creg', 'St Creg, k149' ] 
jid_176ef0dfef8803a9ff66c1fd346824cc, 'tag', ['Rd k1, Areg', 'Rd k150, Breg', 'Add Areg, Breg, Creg', 'St Creg, k150' ] 
jid_409cd9f3b98c7e6e96ee8658e7fcb598, 'tag', ['Rd k1, Areg', 'Rd k151, Breg', 'Add Areg, Breg, Creg', 'St Creg, k151' ] 
jid_0f0254a21dc87e8fc35a9c2402db93b6, 'tag', ['Rd k1, Areg', 'Rd k152, Breg', 'Add Areg, Breg, Creg', 'St Creg, k152' ] 
