jid_1445f5c59eb6ef023569dee83940e744, 'tag', ['Rd k1, Areg', 'Rd k301, Breg', 'Add Areg, Breg, Creg', 'St Creg, k301' ] 
jid_06b904260b0d751caf0034cfe86504fc, 'tag', ['Rd k1, Areg', 'Rd k302, Breg', 'Add Areg, Breg, Creg', 'St Creg, k302' ] 
jid_31b06da87e7c73165bf736f2e9d7b902, 'tag', ['Rd k1, Areg', 'Rd k303, Breg', 'Add Areg, Breg, Creg', 'St Creg, k303' ] 
jid_c687a39fe5c4a872b49b3aa63834508c, 'tag', ['Rd k1, Areg', 'Rd k304, Breg', 'Add Areg, Breg, Creg', 'St Creg, k304' ] 
jid_d31ba3c1cd27b5d6cf9f7393634395e4, 'tag', ['Rd k1, Areg', 'Rd k305, Breg', 'Add Areg, Breg, Creg', 'St Creg, k305' ] 
jid_828007765429cc8470834c483ab6253d, 'tag', ['Rd k1, Areg', 'Rd k306, Breg', 'Add Areg, Breg, Creg', 'St Creg, k306' ] 
jid_64a541dc6e3952830155a81eab098056, 'tag', ['Rd k1, Areg', 'Rd k307, Breg', 'Add Areg, Breg, Creg', 'St Creg, k307' ] 
jid_4eaed852e6857e6c196f20cfa49bc472, 'tag', ['Rd k1, Areg', 'Rd k308, Breg', 'Add Areg, Breg, Creg', 'St Creg, k308' ] 
jid_2dd74611264f88f6159aa18171bfc004, 'tag', ['Rd k1, Areg', 'Rd k309, Breg', 'Add Areg, Breg, Creg', 'St Creg, k309' ] 
jid_fe1bbc5a341d04ae80627cd21ab183ae, 'tag', ['Rd k1, Areg', 'Rd k310, Breg', 'Add Areg, Breg, Creg', 'St Creg, k310' ] 
jid_8373fa500c724ea899d5303d993790f6, 'tag', ['Rd k1, Areg', 'Rd k311, Breg', 'Add Areg, Breg, Creg', 'St Creg, k311' ] 
jid_390d29f732f024a4ebd58645781dfa5a, 'tag', ['Rd k1, Areg', 'Rd k312, Breg', 'Add Areg, Breg, Creg', 'St Creg, k312' ] 
jid_f1bbcefb43f8731a660091a6684d8746, 'tag', ['Rd k1, Areg', 'Rd k313, Breg', 'Add Areg, Breg, Creg', 'St Creg, k313' ] 
jid_642606e93992a316419e8b6081af73dd, 'tag', ['Rd k1, Areg', 'Rd k314, Breg', 'Add Areg, Breg, Creg', 'St Creg, k314' ] 
jid_0d96f49fdbbfecd236f36b3df4608c69, 'tag', ['Rd k1, Areg', 'Rd k315, Breg', 'Add Areg, Breg, Creg', 'St Creg, k315' ] 
jid_47bcdd11e1cd38abf978136d79b6bc91, 'tag', ['Rd k1, Areg', 'Rd k316, Breg', 'Add Areg, Breg, Creg', 'St Creg, k316' ] 
jid_098ddacdd558720b195cbd7a26773837, 'tag', ['Rd k1, Areg', 'Rd k317, Breg', 'Add Areg, Breg, Creg', 'St Creg, k317' ] 
jid_0116a06b764c420b8464f2068f2441c8, 'tag', ['Rd k1, Areg', 'Rd k318, Breg', 'Add Areg, Breg, Creg', 'St Creg, k318' ] 
jid_509a69c52a4bf28c45232276142f6e75, 'tag', ['Rd k1, Areg', 'Rd k319, Breg', 'Add Areg, Breg, Creg', 'St Creg, k319' ] 
jid_6b23c0ac4415f1fca4d47a64031b03ff, 'tag', ['Rd k1, Areg', 'Rd k320, Breg', 'Add Areg, Breg, Creg', 'St Creg, k320' ] 
jid_9492fe88f263d58e0b686885e8c98c0e, 'tag', ['Rd k1, Areg', 'Rd k321, Breg', 'Add Areg, Breg, Creg', 'St Creg, k321' ] 
jid_5c80dc6aeb95ec33f0bf578e049a9193, 'tag', ['Rd k1, Areg', 'Rd k322, Breg', 'Add Areg, Breg, Creg', 'St Creg, k322' ] 
jid_2ab5372e91b61384741a2050a3b83c71, 'tag', ['Rd k1, Areg', 'Rd k323, Breg', 'Add Areg, Breg, Creg', 'St Creg, k323' ] 
jid_36ef14dda15556b096ee6b5242f23506, 'tag', ['Rd k1, Areg', 'Rd k324, Breg', 'Add Areg, Breg, Creg', 'St Creg, k324' ] 
jid_7c1b3b869434ddf685bc503e306701b1, 'tag', ['Rd k1, Areg', 'Rd k325, Breg', 'Add Areg, Breg, Creg', 'St Creg, k325' ] 
jid_2ba9cf691a469a00b235e3dca4e5dc8f, 'tag', ['Rd k1, Areg', 'Rd k326, Breg', 'Add Areg, Breg, Creg', 'St Creg, k326' ] 
jid_9a215d19e54bc4b2282e30c33214e387, 'tag', ['Rd k1, Areg', 'Rd k327, Breg', 'Add Areg, Breg, Creg', 'St Creg, k327' ] 
